,,,,,,
1,,,,,,
Tub,,,,,,
073220,Puree/Gar 30#P Ventura, 0 ,,,,
02282019M,100.00% , 139 ,,,,
,,,,,,
,,,,,,
 03/11/2019,160603, 105 ,(105),GPR01,,
 03/14/2019,160602, 34 ,(139),GPR01,ON HOLD,
085001,Gar/W 400# Drum Tulk, 0 ,,,,
02282019M,100.00% , 20 ,,,,
,,,,,,
,,,,,,
 03/07/2019,160513, 20 ,(20),GWR01,,
152257,Gar/O 30#P AW, 0 ,,,,
01162019M,76.11% , 11 ,,,,
,,,,,,
,,,,,,
 03/01/2019,160331, 5 ,(5),GOR01-AWIN,,
163001,Ging Puree 35#P Tulk, 0 ,,,,
,,,,,,
,,,,,,
,,,,,,
 03/01/2019,160362, 18 ,(18),GIP01,,
 03/04/2019,160454, 36 ,(54),GIP01,,
 03/11/2019,160471, 12 ,(66),GIP01,,
389275,Shack Sauce 6/5.5lb, 562 ,,,,
07242019M,81.11% , 65 ,,,,
08132019M,92.22% , 497 ,,,,
,,,,,,
,,,,,,
 03/25/2019,160537, 500 ,(438),SHK02,,
399275,Btrmilk Herb Sce 6/5.5lb, 0 ,,,,
,,,,,,
,,,,,,
,,,,,,
 03/18/2019,160348, 500 ,(500),SHK01,,
591276,S/F Classic Mayo 4/GalPch, 0 ,,,,
,,,,,,
,,,,,,
,,,,,,
 03/29/2019,160316, 425 ,(425),SRK03,,**CHEP**
Retail,,,,,,
028054,HR White 12/8Oz Rosol, 1 ,,,,
04282019M,32.78% , 1 ,,,,
,,,,,,
,,,,,,
 03/08/2019,160508, 700 ,(699),HRF03,ON HOLD,
028098,HR White 12/8Oz Shoprite, 12 ,,,,
07162019M,76.67% , 12 ,,,,
,,,,,,
,,,,,,
 04/10/2019,160314, 600 ,(588),HRF03,,
033054,HR Red 12/8Oz Rosol, 1 ,,,,
04282019M,32.78% , 1 ,,,,
,,,,,,
,,,,,,
 03/08/2019,160508, 50 ,(49),HRR01,ON HOLD,
064230S,Cktail Sce XB 12/9oz PF, 0 ,,,,
,,,,,,
,,,,,,
,,,,,,
 03/13/2019,160278, 800 ,(800),CSB02S,,
070230S,Tar Sce 12/8.25 oz PF, 0 ,,,,
,,,,,,
,,,,,,
,,,,,,
 03/13/2019,160278, 400 ,(400),TAD01S,,
083001S,Chpt ChiAioli8/18flozTulk, 138 ,,,,
08042019M,87.22% , 138 ,,,,
,,,,,,
,,,,,,
 03/05/2019,160591, 15 ,(9),CCA01S,,
 03/05/2019,160593, 10 ,(19),CCA01S,,
 03/05/2019,160594, 5 ,(24),CCA01S,,
102001,KickinDippin8/18fl ozTulk, 0 ,,,,
,,,,,,
,,,,,,
,,,,,,
 03/04/2019,160556, 1 ,(1),HMA01,,
 03/05/2019,160578, 2 ,(3),HMA01,,
 03/05/2019,160579, 2 ,(5),HMA01,,
 03/05/2019,160583, 2 ,(7),HMA01,,
362267,CoconutOil VO 6/14flozVC, 0 ,,,,
,,,,,,
,,,,,,
,,,,,,
 03/15/2019,158477," 9,400 ","(9,400)",CS0129,,
 04/15/2019,160265," 8,000 ","(17,400)",CS0129,,
425238,Pomp Sherry CW 6/16 floz, 0 ,,,,
,,,,,,
,,,,,,
,,,,,,
 03/02/2019,160463," 3,000 ","(3,000)",CS0102,,
 04/01/2019,159958," 6,000 ","(9,000)",CS0102,,
426238,Pomp MarsalaCW 6/16 fl oz, 0 ,,,,
,,,,,,
,,,,,,
,,,,,,
 04/01/2019,159957," 2,500 ","(2,500)",CS0104,,
427238,Pomp White CW 6/16 floz, 0 ,,,,
,,,,,,
,,,,,,
,,,,,,
 03/02/2019,160464," 3,000 ","(3,000)",CS0103,,
 04/01/2019,159955," 10,000 ","(13,000)",CS0103,,
428238,Pomp BurgundyCW 6/16 floz, 0 ,,,,
,,,,,,
,,,,,,
,,,,,,
 04/01/2019,159956," 2,500 ","(2,500)",CS0105,,
446325,SesameGarlicSce4 1/2GalAM," 1,178 ",,,,
037009,87.78% ," 1,177 ",,,,
249008,105.56% , 1 ,,,,
,,,,,,
,,,,,,
 03/08/2019,159907," 1,180 ",(2),ASM01,,
448325,Gen Tso Sce4 1/2Gal AM, 3 ,,,,
032009,85.00% , 218 ,,,,
032009,85.00% , 3 ,,,,
,,,,,,
,,,,,,
 03/22/2019,159908," 3,540 ","(3,537)",ASM04,,
449325,OrangeGingerSce4 1/2GalAM, 0 ,,,,
,,,,,,
,,,,,,
,,,,,,
 03/08/2019,159907," 1,180 ","(1,180)",ASM05,,
456390,Lwy Garlic Spread 12/6oz, 0 ,,,,
NOV0219AM,68.61% ," 1,730 ",,,,
,,,,,,
,,,,,,
 03/08/2019,158914," 8,500 ","(8,500)",LWR01,ON HOLD,
 04/29/2019,160238," 8,500 ","(17,000)",LWR01,ON HOLD,
532136,Ham Glaze 4/80oz BH, 0 ,,,,
,,,,,,
,,,,,,
,,,,,,
 04/01/2019,160518, 150 ,(150),TBD,,
534136,Honey Mustard 6/16floz BH, 0 ,,,,
,,,,,,
,,,,,,
,,,,,,
 03/22/2019,160356," 5,800 ","(5,800)",I00398,,
 03/26/2019,160358," 5,800 ","(11,600)",I00398,,
538136,Deli Mustard 6/16floz BH, 214 ,,,,
JUL2619,98.67% , 214 ,,,,
,,,,,,
,,,,,,
 03/21/2019,160353," 5,800 ","(5,586)",I00392,,
 03/25/2019,160357," 2,900 ","(8,486)",I00392,,
540136,PepperhseGourm6/16floz BH, 0 ,,,,
,,,,,,
,,,,,,
,,,,,,
 03/25/2019,160357," 1,000 ","(1,000)",I00407,,
541136,Deli Dressing 6/16floz BH, 0 ,,,,
,,,,,,
,,,,,,
,,,,,,
 03/01/2019,159897," 4,000 ","(4,000)",I00409,,
 03/25/2019,160357," 2,000 ","(6,000)",I00409,,
544129,ABF Apple 8/18.5 oz KN, 0 ,,,,
,,,,,,
,,,,,,
,,,,,,
 05/06/2019,160627," 1,000 ","(1,000)",KNS01,,
545129,ABF Caramel 8/18.25 oz KN, 0 ,,,,
,,,,,,
,,,,,,
,,,,,,
 05/06/2019,160627," 1,000 ","(1,000)",KNS05,,
547129,ABF Crmy HR 8/17 oz KN, 0 ,,,,
,,,,,,
,,,,,,
,,,,,,
 05/06/2019,160627," 1,000 ","(1,000)",KNS06,,
548129,ABF Mustard 8/17.5 oz KN, 0 ,,,,
,,,,,,
,,,,,,
,,,,,,
 05/06/2019,160627," 1,000 ","(1,000)",KNS03,,
550129,ABF Sriracha 8/18 oz KN, 0 ,,,,
,,,,,,
,,,,,,
,,,,,,
 05/06/2019,160627," 1,000 ","(1,000)",KNS04,,
551129,ABF MangoHab8/18ozKN, 0 ,,,,
,,,,,,
,,,,,,
,,,,,,
 05/06/2019,160627," 1,000 ","(1,000)",KNS02,,
553129,ABF Asian 8/18 oz KN, 0 ,,,,
,,,,,,
,,,,,,
,,,,,,
 05/06/2019,160627," 1,000 ","(1,000)",KNS07,,
594276,Classic Mayo 6/32 floz SK, 0 ,,,,
,,,,,,
,,,,,,
,,,,,,
 03/29/2019,160316," 1,000 ","(1,000)",SRK01,,**CHEP**
617276,Avocado Mayo 6/12 floz SK, 0 ,,,,
,,,,,,
,,,,,,
,,,,,,
 03/29/2019,160316," 3,100 ","(3,100)",SRK02,,**CHEP**
