Product Code,Item Description (WIP Name),Pack Size,Label or Customer Name,Ross WIP #,Line,BLENDING ROOM,GRINDING ROOM,Notes,  WIP BATCH SIZE POUNDS,Minimum Wt.,MinimumWt. using MAV,MAV,Target Wt.,Maximum Wt.
027215,HR WHT CRSE,400# Drum,KRAFT,HRC01,DRUM,,X,,1114,1114,1092,22,1147,1182
027221,HR WHT FINE,200# Drum,WAYNE CNTY,HRF07,DRUM,,X,,2210,,,,,
027223,HR WHT FINE,200# Drum,STIRRINGS LLC,HRF07,DRUM,,X,,2210,,,,,
027402,HR WHT CRSE,400# Drum,T,HRC01,DRUM,,X,,1114,,,,,
028001,HR WHT FINE,12/8 OZ,T,HRF03,RETAIL,,X,,1107,1107,1094,13,1140,1174
028054,HR WHT FINE,12/8 OZ,ROSOL,HRF03,RETAIL,,X,,1107,1107,1094,13,1140,1174
028061,HR WHITE,12/8 OZ,SHOP-PASSOVER,HRF05,RETAIL,,X,RUN ONCE A YEAR,1150,1150,1137,13,1185,1220
028079,HR WHT FINE,12/8 OZ,GFS,HRF01,RETAIL,,X,,2210,,,,,
028087,HR WHT FINE PASSOVER,12/8 OZ,PASSOVER,HRF05,RETAIL,,X,RUN ONCE A YEAR,1150,1150,1137,13,1185,1220
028098,HR WHT FINE,12/8 OZ,SHOPRITE,HRF03,RETAIL,,X,,1107,1107,1094,13,1140,1174
028156,HR WHT FINE,12/8 OZ,GFS,HRF01,RETAIL,,X,,2210,,,,,
029001,HR WHT FINE,430# Drum,HIENZ,HRC04,DRUM,,X,,1234*,,,,,
030001,HR WHT FINE,200# Drum,T,HRF07,DRUM,,X,,2210,2210,2166,44,2276,2345
031001,HR WHT FINE,200# Drum,T,HRF01,DRUM,,X,,2210,2210,2166,44,2276,2345
032001,HR RED FINE,4/8 LBS,T,HRR01,GALLON,,X,,1177,2210,2124,86,2276,2345
033001,HR RED FINE,12/8 OZ,T,HRR01,RETAIL,,X,,1177,1177,1164,13,1212,1249
033054,HR RED FINE,12/8 OZ,ROSOL,HRR01,RETAIL,,X,,1177,1177,1164,13,1212,1249
033061,HR RED FINE PASSOVER,12/8 OZ,SHOP-PASSOVER,HRR02,RETAIL,,X,RUN ONCE A YEAR,1257,1257,1244,13,1295,1334
033087,HR RED FINE PASSOVER,12/8 OZ,PASSOVER,HRR02,RETAIL,,X,RUN ONCE A YEAR,1257,1257,1244,13,1295,1334
033098,HR RED FINE,12/8 OZ,SHOPRITE,HRR01,RETAIL,,X,,1177,1177,1164,13,1212,1249
034001,HR WHT CRSE,200# Drum,T,HRC02,DRUM,,X,,1113,,,,,
034215,HR WHT CRSE,30# Pail,KRAFT,HRC02,PAIL,,X,,1113,1257,1171,86,1295,1334
035001,GARLIC SPREAD,6/2 LB,T,FEGY,Milk & Soy,9,R,Oasis,1234*,,0,,0,0
036215,HR WHT CRSE,200# Drum,KRAFT,HRC03,DRUM,,X,,1113,,,,,
037001,GARLIC SPRD,2/2 LB,T,CP-FEGZ,Milk & Soy,9,R,Oasis,1234*,,0,,0,0
040001,HR WHT FINE,30# Pail,T,HRF09,PAIL,,X,,1114,,,,,
040133,HR WHT FINE,30# Pail,KENS,HRF09,PAIL,,X,,1114,,,,,
040191,HR WHT FINE,30# Pail,CARRIGE HOUSE,HRF06,PAIL,,X,,1234*,,,,,
040195,HR WHT FINE,30# Pail,CAIN'S,HRF07,PAIL,,X,,2210,,,,,
040219,HR WHT FINE,30# Pail,T (RICHELIEU),HRF09,PAIL,,X,,1114,1234*,#VALUE!,0.4,#VALUE!,#VALUE!
040221,HR WHT FINE,30# Pail,WAYNE CNTY,HRF02,PAIL,,X,,1234*,,,,,
041001,HR WHT FINE,30# Pail,T,HRF07,PAIL,,X,,2210,,,,,
041357,HR WHT FINE,30# Pail,MAK,HRF07,PAIL,,X,,2210,,,,,
043001,HR WHT CRSE,30# Pail,T,HRC01,PAIL,,X,,1114,1114,1113.63,0.37,1147.42,1182
043113,HR WHT CRSE,30# Pail,OC.SPRAY,HRC02,PAIL,,X,,1113,2210,2209.63,0.37,2276.30,2345
043195,HR WHT CRSE,30# Pail,CAIN'S,HRC02,PAIL,,X,,1113,1114,1113.63,0.37,1147.42,1182
043215,HR WHT CRSE,30# Pail,KRAFT,HRC01,PAIL,,X,,1114,,,,,
043218,HR WHT CRSE,30# Pail,CHELTON HOUSE,HRC01,PAIL,,X,,1114,,,,,
045001,GAR/W,30# Pail,T,GWR01,PAIL,,,,3562,1113,1112.63,0.37,1146.39,1181
045172,GAR/W CITRIC ACID,30# Pail,T,GWR02,PAIL,X,,,3385,1113,1112.63,0.37,1146.39,1181
045219,GAR/W,30# Pail,LAKEVIEW,GWRM1,PAIL,?,,,1234*,,,,,
045220,GAR/W,30# Pail,VENTURA FOODS,GWRM1,PAIL,?,,,1234*,,,,,
045350,GAR/W,30# Pail,LONESTAR,GWR01,PAIL,X,,,3562,,,,,
045395,GAR/W,30# Pail,HEINZ,GWR01,PAIL,X,,,3562,3562,3561.63,0.37,3668.86,3779
045396,GAR/W,30# Pail,KELLOGG,GWR01,PAIL,X,,,3562,3385,3384.63,0.37,3486.55,3591
046001,GAR/W CITRIC ACID,2/32 OZ,T,GWR01,TUB,X,,,3562,,,,,
047001,GAR/W CITRIC ACID,6/32 OZ,T,GWR04,TUB,X,,,3571,3571,3539,32,3678,3788
047029,GAR/W CITRIC ACID,6/32 OZ,POCAHONTAS,GWR04,TUB,X,,,3571,,,,,
047036,GAR/W CITRIC ACID,6/32 OZ,ARREZZIO,GWR04,TUB,X,,,3571,3571,3539,32,3678,3788
047039,GAR/W CITRIC ACID,6/32 OZ,ARREZZIO,GWR04,TUB,X,,,3571,,,,,
047057,GAR/W CITRIC ACID,6/32 OZ,COBBLESTREET MARKET ORIGINALS,GWR04,TUB,X,,,3571,3571,,,3678,3788
047105,GAR/W CITRIC ACID,6/32 OZ,NATURAL PACK,GWR04,TUB,X,,,3571,3571,3539,32,3678,3788
047117,GAR/W CITRIC ACID,6/32 OZ,KITCHEN BRAND,GWR04,TUB,X,,,3571,,,,,
047125,GAR/W CITRIC ACID,6/32 OZ,ROSELI,GWR04,TUB,X,,,3571,3571,3539,32,3678,3788
047300,GAR/W CITRIC ACID,6/32 OZ,T (APPLEBEE'S/EGN),GWR04,TUB,X,,,3571,3571,3539,32,3678,3788
048001,GAR/W CITRIC ACID,30# Pail,T,GWR04,PAIL,X,,,3571,3571,3570.63,0.37,3678.13,3788
049001,HR WHT CRSE,35# Pail,T,HRC03,PAIL,,X,,1113,3571,3570.63,0.37,3678.13,3788
049215,HR WHT CRSE,30# Pail,KRAFT,HRC03,PAIL,,X,,1113,,,,,
050001,HR WHT FINE,35# Pail,T,HRF09,PAIL,,X,,1114,3571,3571,0.4,3678,3788
051001,HR WHT CRSE,35# Pail,T,HRC01,PAIL,,X,,1114,1113,1113,0.4,1146,1181
051133,HR WHT CRSE,35# Pail,KENS,HRC01,PAIL,,X,,1114,,,,,
051244,HR WHT CRSE,35# Pail,TW GARNER,HRC03,PAIL,,X,,1113,,,,,
052001S,TGR SCE,6/32 FL OZ,T,TIS01S,TUB,X,,,1851,1851,1819,32,1907,1964
052037,TGR SCE,6/32 FL OZ,SYSCO CLASSIC ,TIS01S,TUB,X,,,1851,1851,1819,32,1907,1964
054001S,CKTAIL SCE,6/32 OZ,T,CSR01S,TUB,X,,,2258,,,,,
054037S,CKTAIL SCE,6/32 OZ,SYSCO CLASSIC ,CSR01S,TUB,X,,,2258,2258,,,2326,2396
056001,HR WHT FINE,400# Drum,T,HRF01,DRUM,,X,,2210,2210,2202,8,2276,2345
056045,HR WHT FINE,400# Drum,BUEDEL,HRF01,DRUM,,X,,2210,,,,,
057196,CAESAR DRESSING,4/1 GAL,MELTING POT,MPT01,GALLON,X,,,1875,2258,2181,77,2326,2396
058082,COCKTAIL SAUCE,30# Pail,SEASIDE,CSV01,PAIL,,,,1234*,,,,,
061356S,TAR SCE DILL w/ SUGAR,12/8 FL OZ,THE FRESH MARKET,TAD01S,RETAIL,X,,,1389,,,,,
064001,COCKTAIL SAUCE XBOLD,12/9 OZ,T,CSB02,RETAIL,X,,,1234*,,,,,
064082,COCKTAIL SAUCE XBOLD,12/9 OZ,SEASIDE,CSB02,RETAIL,X,,,1234*,,,,,
064230S,EXTRA BOLD CKTAIL SCE w/ SUGAR,12/9 OZ,PHILLIPS,CSB02S,RETAIL,X,,,2397,,,,,
065220,GW w/CA,30# Pail,VENTURA FOODS,GWR04,PAIL,X,,,3571,,,,,
066133,HR EXTRA HOT,35# Pail,KENS,HRC06,PAIL,,X,,1234*,,,,,
067001,HR WHT FINE,30# Pail,T,HRF01,PAIL,,X,,2210,1389,1389,0.4,1431,1474
067133,HR WHT FINE,30# Pail,KENS,HRF01,PAIL,,X,,2210,,,,,
067220,HR WHT FINE,30# Pail,VENTURA FOODS,HRF01,PAIL,,X,,2210,,,,,
068001,HR WHT FINE,30# Pail,T,HRF08,PAIL,,X,,1234*,,,,,
069328,HR WHT W/ MOEB,30# Pail,DAMN GOOD COCKTAILS,HRF11,PAIL,,X,,1400,,,,,
070230S,TAR SCE DILL,12/8.25 OZ,PHILLIPS,TAD01S,RETAIL,X,,,1389,,,,,
071082,GAR/O VALUE,30# Pail,SEASIDE,GOV01,PAIL,X,,GWV01+OIL AT THE LINE=GOV01,3547,2210,2210,0.4,2276,2345
072037,GARLIC/W VALUE,30# Pail,SYSCO CLASSIC ,GWV01,PAIL,X,,,3547,1389,1389,0,1431,1474
072082,GARLIC/W VALUE,30# Pail,SEASIDE,GWV01,PAIL,X,,,3547,3547,3547,0,3653,3763
072220,GARLIC/W VALUE,30# Pail,VENTURA FOODS,GWV01,PAIL,X,,,3547,,,,,
073001,GAR/PUREE,30# Pail,T,GPR01,PAIL,X,,,3315,3547,,,,
073133,GAR/PUREE,30# Pail,KENS,GPR01,PAIL,X,,,3315,3547,3547,0,3653,3763
073220,GARLIC PUREE,30# Pail,VENTURA FOODS,GPR01,PAIL,X,,,3315,3315,3315,0,3414,3517
077356S,TAR SCE SWT - SUGAR,12/8 FL OZ,THE FRESH MARKET,TAS01S,RETAIL,X,,,1389,,,,,
078001,GARLIC PUREE VALUE,30# Pail,T,GPV01,PAIL,X,,,3315,,,,,
079001,HR WHT FINE,200# DRUM,T,HRF12,DRUM,,X,,1200,1200,1176,24,1236,1273
080082,DILL TARTAR SCE,4/1 GAL,SEASIDE,TAD01,GALLON,X,,,1234*,,,,,
082001,HR WHT FINE,400# Drum,T,HRF07,DRUM,,X,,2210,2210,2166,44,2276,2345
083001S,CHPTL CHILI AIOLI,8/18 FL OZ,T,CCA01S,RETAIL,X,,,1800,490,468,22,504,519
084001S,TAR SCE SWT - SUGAR,4/1 GAL,T,TAS01S,GALLON,X,,,1389,2210,2124,86,2276,2345
085001,GAR/W,400# Drum,T,GWR01,DRUM,X,,,3562,3562,3491,71,3669,3779
086001,GAR/O,400# Drum,T,GOR01,DRUM,X,,GWR07+OIL AT THE LINE=GOR01,3511,,,,,
